"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2,D1";"D_DO-41_SOD81_P7.62mm_Horizontal";2;"1N4001";;;
2;"R8,R9,R10,R7";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"10k";;;
3;"U3,U4";"SOIC-8_3.9x4.9mm_P1.27mm";2;"IR2104";;;
4;"D4,D3";"D_DO-41_SOD81_P7.62mm_Horizontal";2;"1N4007";;;
5;"C10,C5";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"220nF";;;
6;"Q4,Q2,Q3,Q1";"TO-220-3_Horizontal_TabDown";4;"IRLZ44N";;;
7;"D6,D5";"LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"LED";;;
8;"TP2,TP1";"Pin_D1.1mm_L8.5mm_W2.5mm_FlatFork";2;"TestPoint";;;
9;"U1";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
10;"C2,C4,C3,C1";"C_Radial_D4.0mm_H5.0mm_P1.50mm";4;"220uF";;;
11;"R2,R1,R4,R3";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"10";;;
12;"+MOTOR-1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"Screw_Terminal_01x02";;;
13;"C12";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"100nF";;;
14;"C8,C6";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"10nF";;;
15;"R5";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"470";;;
16;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
17;"MCU_INPUTS1";"PinHeader_1x03_P1.00mm_Vertical";1;"Conn_01x03_Pin";;;
18;"C7,C9";"C_Radial_D4.0mm_H5.0mm_P1.50mm";2;"10uF";;;
19;"C11";"C_Radial_D4.0mm_H5.0mm_P1.50mm";1;"470uF";;;
20;"3V     5V      12V";"TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm";1;"Screw_Terminal_01x03";;;
21;"R6";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"100";;;
